date,open,high,low,close,volume,open_interest,settle,symbol
20150327,16025.0,16060.0,15880.0,15905.0,35290,75124,15970.0,SN0
20150330,119270.0,119530.0,115600.0,118080.0,2464,834,117721.0,SN0
20150331,117650.0,119800.0,115960.0,118160.0,4522,1176,117790.0,SN0
20150401,117800.0,118880.0,117080.0,117910.0,4374,1272,118281.0,SN0
20150402,117970.0,119080.0,117970.0,118700.0,2716,1038,118540.0,SN0
20150403,118600.0,119470.0,118560.0,118840.0,1388,1002,118950.0,SN0
20150407,118890.0,119090.0,118270.0,118970.0,844,904,118630.0,SN0
20150408,118710.0,118890.0,117150.0,117840.0,844,750,118200.0,SN0
20150409,117570.0,117980.0,116500.0,116790.0,812,804,117201.0,SN0
20150410,116500.0,116980.0,115320.0,115990.0,2416,916,115860.0,SN0
20150413,115960.0,116290.0,115270.0,115510.0,1586,1004,115755.0,SN0
20150414,115550.0,115650.0,112500.0,112500.0,5576,1884,113689.0,SN0
20150415,112420.0,114140.0,112320.0,113750.0,4114,1698,113530.0,SN0
20150416,112530.0,113700.0,111010.0,112880.0,3866,1962,112789.0,SN0
20150417,113000.0,113000.0,109300.0,110000.0,11322,3584,111113.0,SN0
20150420,112000.0,112950.0,111120.0,111440.0,10518,2656,111858.0,SN0
20150421,111530.0,111880.0,111100.0,111550.0,3434,2964,111474.0,SN0
20150422,112190.0,113290.0,112190.0,112940.0,5868,2736,112875.0,SN0
20150423,113400.0,113760.0,112960.0,113300.0,3310,2468,113430.0,SN0
20150424,113350.0,113950.0,112750.0,113940.0,2086,2526,113430.0,SN0
20150427,114400.0,117960.0,114400.0,117960.0,16990,3096,116539.0,SN0
20150428,117970.0,118550.0,116500.0,117400.0,31980,4452,117740.0,SN0
20150429,117140.0,117720.0,115120.0,115370.0,10628,4638,116821.0,SN0
20150430,116000.0,119890.0,115380.0,117750.0,17756,5586,117360.0,SN0
20150504,118530.0,119500.0,117890.0,118820.0,8814,6072,118835.0,SN0
20150505,119000.0,119780.0,118000.0,118680.0,12990,6392,118921.0,SN0
20150506,119640.0,123670.0,119600.0,123400.0,32668,8600,122030.0,SN0
20150507,123300.0,125910.0,121500.0,122030.0,51604,7606,123860.0,SN0
20150508,122600.0,122960.0,120020.0,121290.0,22068,7346,121315.0,SN0
20150511,120890.0,122690.0,120710.0,122400.0,13824,7580,121670.0,SN0
20150512,121100.0,121930.0,119690.0,119970.0,17242,7502,121028.0,SN0
20150513,120800.0,121100.0,120000.0,120700.0,10412,7156,120580.0,SN0
20150514,120700.0,122480.0,117800.0,119500.0,31286,7222,120460.0,SN0
20150515,119190.0,119680.0,118610.0,119100.0,11000,7396,119170.0,SN0
20150518,118690.0,119940.0,118030.0,119250.0,11708,7298,119380.0,SN0
20150519,119520.0,119650.0,118070.0,118140.0,7572,6732,118920.0,SN0
20150520,117690.0,117960.0,114160.0,115860.0,27600,6122,115840.0,SN0
20150521,116350.0,120400.0,115220.0,119180.0,38170,6916,118340.0,SN0
20150522,119500.0,119730.0,116900.0,117980.0,23976,6632,118654.0,SN0
20150525,117170.0,119800.0,116800.0,117580.0,25734,6844,118620.0,SN0
20150526,117600.0,119570.0,117600.0,118270.0,18802,6648,118860.0,SN0
20150527,116760.0,117570.0,116200.0,116510.0,17848,7100,116872.0,SN0
20150528,116010.0,117510.0,115720.0,116980.0,15240,6652,116765.0,SN0
20150529,116900.0,116900.0,115680.0,116160.0,8976,6090,116320.0,SN0
20150601,116090.0,116350.0,115670.0,116210.0,4358,5708,116010.0,SN0
20150602,116120.0,117000.0,115780.0,116490.0,3880,5624,116410.0,SN0
20150603,116740.0,116800.0,115060.0,115520.0,3304,5472,116381.0,SN0
20150604,115330.0,115900.0,114500.0,114750.0,3236,5216,115077.0,SN0
20150605,114640.0,114980.0,114260.0,114260.0,1284,5218,114570.0,SN0
20150608,113990.0,114940.0,113910.0,114700.0,2082,5128,114300.0,SN0
20150609,114710.0,115600.0,114710.0,114930.0,2194,5114,115110.0,SN0
20150610,115340.0,115550.0,114850.0,115450.0,1228,5088,115199.0,SN0
20150611,115490.0,115670.0,115300.0,115420.0,1014,4910,115460.0,SN0
20150612,114420.0,114700.0,113520.0,113700.0,3152,4014,114110.0,SN0
20150615,113410.0,113660.0,112810.0,113090.0,1276,3794,113370.0,SN0
20150616,111720.0,112650.0,111700.0,111780.0,1166,3668,112240.0,SN0
20150617,111990.0,112230.0,111210.0,111730.0,1016,3574,111680.0,SN0
20150618,112290.0,112600.0,111820.0,112490.0,768,3462,112290.0,SN0
20150619,113010.0,114450.0,112470.0,113770.0,1368,3422,113520.0,SN0
20150623,113360.0,114330.0,113360.0,114110.0,632,3300,114060.0,SN0
20150624,113680.0,114150.0,112580.0,113130.0,974,3198,113545.0,SN0
20150625,112820.0,113300.0,109470.0,111220.0,1352,3092,112070.0,SN0
20150626,111280.0,111920.0,109800.0,110110.0,1698,2950,110740.0,SN0
20150629,109100.0,110800.0,109000.0,109820.0,1234,3012,110228.0,SN0
20150630,109000.0,109400.0,105740.0,106050.0,1382,2808,0.0,SN0
20150701,104010.0,107740.0,104010.0,106700.0,278,2776,105482.0,SN0
20150702,109800.0,109990.0,108560.0,109580.0,2590,2808,109390.0,SN0
